Category,Year,Month,Registrations
4W,2020,JAN,473496
4W,2020,FEB,410725
4W,2020,MAR,432901
4W,2020,APR,56598
4W,2020,MAY,48383
4W,2020,JUN,213908
4W,2020,JUL,297568
4W,2020,AUG,317495
4W,2020,SEP,354740
4W,2020,OCT,401667
4W,2020,NOV,451498
4W,2020,DEC,453153
3W,2020,JAN,71579
3W,2020,FEB,74554
3W,2020,MAR,85015
3W,2020,APR,13105
3W,2020,MAY,2207
3W,2020,JUN,13334
3W,2020,JUL,16461
3W,2020,AUG,18503
3W,2020,SEP,26667
3W,2020,OCT,26558
3W,2020,NOV,27546
3W,2020,DEC,31070
2W,2020,JAN,1457588
2W,2020,FEB,1476135
2W,2020,MAR,2075863
2W,2020,APR,417100
2W,2020,MAY,192943
2W,2020,JUN,912588
2W,2020,JUL,1016209
2W,2020,AUG,1065600
2W,2020,SEP,1183372
2W,2020,OCT,1235983
2W,2020,NOV,1645090
2W,2020,DEC,1636682
4W,2021,JAN,465018
4W,2021,FEB,425316
4W,2021,MAR,479865
4W,2021,APR,328919
4W,2021,MAY,133067
4W,2021,JUN,313441
4W,2021,JUL,448802
4W,2021,AUG,425355
4W,2021,SEP,388656
4W,2021,OCT,369866
4W,2021,NOV,387735
4W,2021,DEC,412437
3W,2021,JAN,34986
3W,2021,FEB,36817
3W,2021,MAR,42130
3W,2021,APR,23941
3W,2021,MAY,5823
3W,2021,JUN,16445
3W,2021,JUL,30377
3W,2021,AUG,33117
3W,2021,SEP,39744
3W,2021,OCT,43082
3W,2021,NOV,43837
3W,2021,DEC,47619
2W,2021,JAN,1364599
2W,2021,FEB,1242835
2W,2021,MAR,1354082
2W,2021,APR,960384
2W,2021,MAY,459274
2W,2021,JUN,1076403
2W,2021,JUL,1293578
2W,2021,AUG,1104886
2W,2021,SEP,1033833
2W,2021,OCT,1139127
2W,2021,NOV,1601574
2W,2021,DEC,1304194
4W,2022,JAN,427632
4W,2022,FEB,396306
4W,2022,MAR,463318
4W,2022,APR,430228
4W,2022,MAY,428811
4W,2022,JUN,431656
4W,2022,JUL,425637
4W,2022,AUG,438700
4W,2022,SEP,423350
4W,2022,OCT,504564
4W,2022,NOV,480516
4W,2022,DEC,444940
3W,2022,JAN,43649
3W,2022,FEB,42107
3W,2022,MAR,51802
3W,2022,APR,45546
3W,2022,MAY,44687
3W,2022,JUN,49538
3W,2022,JUL,54191
3W,2022,AUG,60619
3W,2022,SEP,68997
3W,2022,OCT,72307
3W,2022,NOV,80971
3W,2022,DEC,69576
2W,2022,JAN,1154841
2W,2022,FEB,1108495
2W,2022,MAR,1289145
2W,2022,APR,1331202
2W,2022,MAY,1368599
2W,2022,JUN,1229045
2W,2022,JUL,1137142
2W,2022,AUG,1181465
2W,2022,SEP,1079000
2W,2022,OCT,1725528
2W,2022,NOV,1856723
2W,2022,DEC,1137325
4W,2023,JAN,515569
4W,2023,FEB,452551
4W,2023,MAR,524263
4W,2023,APR,437827
4W,2023,MAY,460707
4W,2023,JUN,482440
4W,2023,JUL,460944
4W,2023,AUG,479792
4W,2023,SEP,480254
4W,2023,OCT,522791
4W,2023,NOV,528117
4W,2023,DEC,460491
3W,2023,JAN,71469
3W,2023,FEB,76988
3W,2023,MAR,90538
3W,2023,APR,73650
3W,2023,MAY,82240
3W,2023,JUN,89926
3W,2023,JUL,97948
3W,2023,AUG,103958
3W,2023,SEP,105963
3W,2023,OCT,110450
3W,2023,NOV,103942
3W,2023,DEC,98377
2W,2023,JAN,1269713
2W,2023,FEB,1272600
2W,2023,MAR,1455045
2W,2023,APR,1235909
2W,2023,MAY,1499980
2W,2023,JUN,1316306
2W,2023,JUL,1234092
2W,2023,AUG,1261403
2W,2023,SEP,1318959
2W,2023,OCT,1517946
2W,2023,NOV,2259617
2W,2023,DEC,1455739
4W,2024,JAN,590411
4W,2024,FEB,510710
4W,2024,MAR,504646
4W,2024,APR,497389
4W,2024,MAY,470727
4W,2024,JUN,439619
4W,2024,JUL,495479
4W,2024,AUG,463795
4W,2024,SEP,424966
4W,2024,OCT,670921
4W,2024,NOV,501040
4W,2024,DEC,477807
3W,2024,JAN,100160
3W,2024,FEB,96018
3W,2024,MAR,105351
3W,2024,APR,80129
3W,2024,MAY,98274
3W,2024,JUN,94326
3W,2024,JUL,110509
3W,2024,AUG,105494
3W,2024,SEP,106533
3W,2024,OCT,122853
3W,2024,NOV,108328
3W,2024,DEC,93889
2W,2024,JAN,1465868
2W,2024,FEB,1447165
2W,2024,MAR,1538525
2W,2024,APR,1650940
2W,2024,MAY,1540923
2W,2024,JUN,1381846
2W,2024,JUL,1451095
2W,2024,AUG,1345377
2W,2024,SEP,1209582
2W,2024,OCT,2076259
2W,2024,NOV,2628441
2W,2024,DEC,1203980
4W,2025,JAN,679405
4W,2025,FEB,466149
4W,2025,MAR,533478
4W,2025,APR,520118
4W,2025,MAY,469365
4W,2025,JUN,469203
4W,2025,JUL,503564
4W,2025,AUG,145411
3W,2025,JAN,107024
3W,2025,FEB,94192
3W,2025,MAR,99382
3W,2025,APR,99771
3W,2025,MAY,104455
3W,2025,JUN,100631
3W,2025,JUL,111427
3W,2025,AUG,28476
2W,2025,JAN,1535144
2W,2025,FEB,1362688
2W,2025,MAR,1522229
2W,2025,APR,1697085
2W,2025,MAY,1661325
2W,2025,JUN,1453218
2W,2025,JUL,1358650
2W,2025,AUG,382031
